id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,description,photos,cost-basis-in-pennies,quantity,date-entered
7088,SimCity,Super Nintendo,1025,Item only,Normal wear,,,,800,1,2022-10-16
12287,Kickle Cubicle,NES,2417,Item only,Normal wear,,,,0,1,2022-08-12
14949,My Little Pony Pinkie Pie's Party,Nintendo DS,601,Item only,Normal wear,,,,0,1,2021-11-21
12219,Duck Tales,NES,2183,Item only,Normal wear,,,,0,1,2022-08-12
21071,Pokemon HeartGold Version,Nintendo DS,15347,"Item, Box, and Manual",Torn label,,damaged cover,,0,1,2021-11-21
3918,Star Fox 64,Nintendo 64,2476,Item only,Normal wear,,,,0,1,2021-11-21
9118,Home Alone 2 Lost In New York,Sega Genesis,1741,Item only,Normal wear,,,,0,1,2021-11-21
22180,Super Scribblenauts,Nintendo DS,500,Item only,Normal wear,,,,1000,1,2022-11-23
32205,Uncharted 3: Drake's Deception,Playstation 3,438,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
38002,Soccer [5 Screw],NES,1507,Item only,Normal wear,,,,1000,1,2022-12-15
3980,Advance Wars Dual Strike,Nintendo DS,2673,Item only,Normal wear,,,,0,1,2022-03-22
16677,Chip's Challenge,Atari Lynx,1500,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
4199686,EverDrive-64 X7,Nintendo 64,69379,"Item, Box, and Manual",Normal wear,,,,0,1,2022-12-09
11033,Sonic and the Secret Rings,Wii,923,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
21113,Shin Megami Tensei: Strange Journey,Nintendo DS,4500,Item only,Normal wear,,,,1000,1,2022-11-23
69709,Half-Life 2,PC Games,1069,Item only,Normal wear,,,,0,1,2022-03-22
31172,Puzzle Link,Neo Geo Pocket Color,2495,Item only,Normal wear,,,,0,1,2021-11-21
